Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-07-11 11:00:00,IoTPond6,3,24.1875,97.0,6.888,7.74365
2021-07-11 12:00:00,IoTPond2,0,24.8125,100.0,6.837,7.56207
2021-07-11 12:00:00,IoTPond7,4,25.375,32.0,6.127,6.88115
2021-07-11 12:00:00,IoTpond1,6,24.8125,100.0,6.837,7.56207
2021-07-11 12:00:00,IoTPond6,3,24.375,96.0,5.375,7.74365
2021-07-11 12:00:00,IoTPond9,5,24.1875,97.0,9.593,7.39865
2021-07-11 12:00:00,IoTPond3,1,24.0625,32.0,6.144,7.3124
2021-07-11 13:00:00,IoTPond9,5,24.5,97.0,8.097,7.38957
2021-07-11 13:00:00,IoTPond7,4,25.8125,32.0,9.491,6.87207
2021-07-11 13:00:00,IoTPond2,0,25.0625,100.0,7.761,7.55753
2021-07-11 13:00:00,IoTPond6,3,24.5625,96.0,6.28,7.74365
2021-07-11 13:00:00,IoTpond1,6,25.0625,100.0,7.761,7.55753
2021-07-11 13:00:00,IoTPond3,1,24.1875,99.0,6.491,7.3124
2021-07-11 14:00:00,IoTPond6,3,24.75,99.0,4.969,7.74365
2021-07-11 14:00:00,IoTPond7,4,26.03125,32.0,7.82,6.8584499999999995
2021-07-11 14:00:00,IoTPond9,5,24.875,96.0,8.012,7.38957
2021-07-11 14:00:00,IoTPond2,0,25.1875,100.0,8.434,7.54845
2021-07-11 14:00:00,IoTpond1,6,25.1875,100.0,8.434,7.54845
2021-07-11 14:00:00,IoTPond3,1,24.375,28.0,5.8185,7.30786
2021-07-11 15:00:00,IoTPond6,3,24.875,96.0,5.7385,7.74365
2021-07-11 15:00:00,IoTPond7,4,26.40625,31.5,12.085,6.483945
2021-07-11 15:00:00,IoTPond9,5,25.1875,97.0,8.634,7.39411
2021-07-11 15:00:00,IoTPond2,0,25.4375,100.0,8.77,7.54845
2021-07-11 15:00:00,IoTPond3,1,24.5625,35.5,5.84,7.29878
2021-07-11 15:00:00,IoTpond1,6,25.4375,100.0,8.77,7.54845
2021-07-11 16:00:00,IoTPond3,1,24.625,35.0,5.08,7.29424
2021-07-11 16:00:00,IoTpond1,6,25.5625,100.0,6.699999999999999,7.54845
2021-07-11 16:00:00,IoTPond2,0,25.5625,100.0,6.699999999999999,7.54845
2021-07-11 16:00:00,IoTPond9,5,25.25,96.0,9.227,7.39411
2021-07-11 16:00:00,IoTPond7,4,26.5,31.0,11.536,6.84029
2021-07-11 16:00:00,IoTPond6,3,24.9375,100.0,4.817,7.74819
2021-07-11 17:00:00,IoTPond9,5,25.3125,96.0,9.227,7.39865
2021-07-11 17:00:00,IoTPond7,4,26.4375,32.0,11.255,6.85845
2021-07-11 17:00:00,IoTPond4,2,25.875,100.0,3.716,7.68009
2021-07-11 17:00:00,IoTPond3,1,24.6875,40.0,5.08,7.29878
2021-07-11 17:00:00,IoTpond1,6,25.625,100.0,4.2490000000000006,7.56207
2021-07-11 17:00:00,IoTPond2,0,25.625,100.0,4.2490000000000006,7.56207
2021-07-11 17:00:00,IoTPond6,3,24.9375,100.0,2.062,7.75727
2021-07-11 18:00:00,IoTPond3,1,24.6875,93.0,3.782,7.30332
2021-07-11 18:00:00,IoTPond4,2,25.8125,100.0,2.979,7.68009
2021-07-11 18:00:00,IoTpond1,6,25.5625,100.0,1.409,7.57569
2021-07-11 18:00:00,IoTPond9,5,25.25,97.0,12.535,7.40546
2021-07-11 18:00:00,IoTPond2,0,25.5625,100.0,1.409,7.57569
2021-07-11 18:00:00,IoTPond7,4,26.3125,32.0,10.752,6.87207
2021-07-11 18:00:00,IoTPond6,3,24.8125,100.0,2.987,7.759535
2021-07-11 19:00:00,IoTPond9,5,25.0,97.0,9.227,7.41227
2021-07-11 19:00:00,IoTPond3,1,24.5625,35.0,3.042,7.3124
2021-07-11 19:00:00,IoTpond1,6,25.4375,100.0,2.843,7.57569
2021-07-11 19:00:00,IoTPond2,0,25.4375,100.0,2.843,7.57569
2021-07-11 19:00:00,IoTPond6,3,24.75,100.0,2.197,7.7618
2021-07-11 19:00:00,IoTPond4,2,25.625,100.0,2.859,7.68009
2021-07-11 19:00:00,IoTPond7,4,26.125,32.0,8.379999999999999,6.88115
2021-07-11 20:00:00,IoTPond7,4,26.0,32.0,6.788,6.88569
2021-07-11 20:00:00,IoTpond1,6,25.40625,100.0,7.096,7.571149999999999
2021-07-11 20:00:00,IoTPond3,1,24.5,42.5,4.741,7.31467
2021-07-11 20:00:00,IoTPond9,5,24.9375,97.0,8.602,7.40319
2021-07-11 20:00:00,IoTPond6,3,24.625,100.0,1.825,7.76634
2021-07-11 20:00:00,IoTPond2,0,25.40625,100.0,7.096,7.571149999999999
2021-07-11 20:00:00,IoTPond4,2,25.5625,100.0,3.175,7.68009
